Nombre ,Especialidad,Cargo,Cita o Lema,Resumen del profesional,"Formacion (Titulos , etc.)",Comentario
Gabriela Pereira,Fonoauudiologia,Fonoaudiologa,,"Fonoaudióloga con experiencia en primera infancia, adolescentes y adultos. Se desempeña en el abordaje de voz, tartamudez y motricidad orofacial, desarrollando una atención cercana y dinámica. Integra el juego libre, la exploración de espacios y la metodología A.M.A.R en sus intervenciones, favoreciendo procesos terapéuticos significativos, respetuosos ,centrados en la persona y sus cuidadores","Diplomado en motricidad orofacial 
Diplomado condición del espectro autista: Derribando mitos para construir aulas inclusivas desde un enfoque de derecho.
Diplomado de integración sensorial CEA y TDAH
Certificación ADOS
Especialización en tartamudez infantil.
Cursos variados como: evaluación frenillo lingual e intervención post frenectomía, tratamiento fonoaudiológico miofuncional en síndrome respirador oral, ronquidos y apnea obstructiva del sueño, en apraxia del habla, entre otros.
",
Ulda Castillo,Fonoauudiologia,Fonoaudiologa,,"Fonoaudióloga trabaja desde la mirada del modelo AMAR, con experiencia en TEACCH y CLAP, especializada en atención en neurodivergencia desde un enfoque afirmativo. Cuenta con experiencia en primera infancia, apraxia del habla, desarrollando un trabajo estructurado, metódico y cercano. 
Incorpora  terapia de juego, como su principal estrategia, para favorecer la motivación, la participación activa y el aprendizaje significativo. Integra de manera permanente a cuidadores en el proceso terapéutico, entregando acompañamiento y orientación a las familias.","Diplomada experto en autismo con enfoque de intervención clínica y calidad de vida.
Metodología TEACHH
Enfoque CLAP 
Pasantía clínica en evaluación en intervención de motricidad orofacial. IROF.
Certificada en Trastornos del desarrollo del lenguaje, estrategias de intervención en niños y jovenes.
Cursos varidos en apraxia del habla infantil,  en evaluación fonoaudiólogica en Trastorno espectro autista, en alteración en frenillo lingual.",
Bruno Araya,Fonoauudiologia,Fonoaudiologo,,,,
Erik Navarro,Psicologia,Psicologo,,"Acompaña procesos terapéuticos profundos con adolescentes, adultos y parejas favoreciendo la exploración de la historia vincular, los efectos del trauma y la construcción de sentido de la experiencia subjetiva en el presente. 
Psicólogo con amplia experiencia en el sistema público y programas especializados de infancia, adolescencia y familias.
Posee experiencia en terapia grupal, promoviendo espacios de reflexión, elaboración psíquica y sostén terapéutico, tanto a nivel individual como colectivo.
","Psicólogo, Universidad Central
12 años de experiencia
Magister © en psicología clínica, mención en psicoanálisis.
Diplomado psicopatología psicoanalítica.
Diplomado psicoanálisis y discurso social.
Diplomado praxis comunitaria.
Cursos variados en: violencia y agresiones, diagnostico maltrato infantil, trauma y resiliencia, puntualizaciones sobre los efectos del abuso sexual infantil, crianza respetuosa.",
Benjamin Alarcon,Psicologia,Psicologo,,"Psicólogo con experiencia en la línea jurídica, trabaja desde una mirada centrada en los derechos humanos de niños, niñas y adolescentes, así como de sus familias. 
Posee un enfoque sistémico-conductual, orientando su práctica clínica a clarificar procesos, fortalecer la comprensión de las situaciones vividas y favorecer la toma de decisiones informadas en contextos terapéuticos y psicojurídicos.","Psicólogo, Universidad de La Serena 
Diplomado © en enfoque clínico - forense
Formación complementaria en el área jurídica aplicada a la intervención psicológica y en el abordaje clínico del abuso sexual infantil. Además, posee cursos en uso de diversos instrumentos psicométricos y proyectivos de evaluación, incluyendo TRO y CAT-A, así como certificaciones asociadas a evaluación psicológica clínica.
",
Josefa Arias,Psicologia,Psicologa,,"Psicóloga con experiencia en neurodivergencia, trabajando desde un enfoque sistémico con un estilo dinámico y cercano. Realiza intervención clínica con niños y adolescentes, considerando el contexto familiar y escolar. 
Cuenta con especialización en perfil sensorial, integrando este abordaje en la evaluación y acompañamiento terapéutico para favorecer la regulación emocional, la adaptación y el bienestar integral.","Psicóloga, Universidad Central
Especializada en espectro autista desde un enfoque biopsicosocial, neuro-afirmativo y de derechos con énfasis en cursos de diagnóstico, evaluación, regulación emocional y procesamiento sensorial en personas dentro del espectro.",
Eva Aguayo,Psicologia,Psicologa,,"Trabajo clínico con población infanto-juvenil y adulta. Acompaña procesos terapéuticos desde un enfoque sistémico, integrando una mirada neuroafirmativa y afirmativa para la población LGBTIQA+, promoviendo espacios seguros, respetuosos e inclusivos.
Cuenta con experiencia en el sistema público y en el área jurídica, incluyendo la aplicación de instrumentos. Su quehacer clínico incorpora la consejería en sexualidad, el fortalecimiento de competencias parentales, desde una práctica centrada en la persona y el cuidado del vínculo terapéutico.","Psicóloga, Universidad de La Serena.
12 años de experiencia.
Especialización en Psicoterapia AfirmativaLGBTQIA+
Diplomado en Abordaje Clínico Multidisciplinario en Adultos en el Espectro Autista.
Diplomado en Parentalidad y Desarrollo, Fundación Ideas para la Infancia.
Diplomado en Terapia Sexual y Sexualidad Humana, 
Numerosos cursos, seminarios y clases magistrales de actualización permanente.
Psicóloga, Universidad de La Serena.
12 años de experiencia.
Especialización en Psicoterapia AfirmativaLGBTQIA+
Diplomado en Abordaje Clínico Multidisciplinario en Adultos en el Espectro Autista.",
Magdalena Zepeda,Psicologia,Psicologa,,"Psicóloga con enfoque sistémico, que acompaña a niños, adolescentes y adultos desde una mirada integral, poniendo en el centro el vínculo terapéutico y la historia familiar.
Su trabajo busca favorecer la comprensión de las dinámicas relacionales, promoviendo procesos de cambio significativos y sostenibles, orientados al bienestar emocional.","Psicóloga, Universidad de La Serena 
Diplomado en estrategias clinicas en psicoterapia breve para adultos .
Diplomado en terapia breve para problemas en adolescencia.
Cursos variados en: Regulación emocional, duelo y autolesión.
",
Valentina Gonzalez,Psicologia,Psicologa,,"Psicóloga especializada en primera infancia y niñez, con enfoque en el desarrollo socioemocional, el fortalecimiento del vínculo y el acompañamiento integral a las familias
Trabaja con niñ@s desde los primeros años de vida, promoviendo espacios terapéuticos seguros, lúdicos y profundamente respetuosos de su mundo interno. 
Integra el juego como herramienta central de exploración, expresión y elaboración emocional, comprendiendo a la infancia dentro de su sistema familiar y relacional.
","Psicóloga, Universidad de La Serena.
Salud Mental en Adolescentes: Intervención en temáticas críticas.
Técnicas para la Regulación Emocional en Adultos.
Terapia Breve del Duelo
Técnicas de Psicoterapia Breve 
Introducción al Modelo ODISEA de intervención parental y familiar
Formación en institucionalización temprana: efectos y recuperación  ",
Cristopher Espejo,Psicologia,Psicologo,,"Psicólogo clínico con especialización en trauma complejo, apego, mentalización y modelos de complejidad.
Cuenta con experiencia en dispositivos de salud mental y programas psicosociales orientados al acompañamiento de población infanto-juvenil y adulta.
Acompaña procesos complejos con profundidad, ética y rigurosidad, comprendiendo el malestar como parte de trayectorias relacionales y contextuales,  sosteniendo intervenciones respetuosas y centradas en la dignidad de cada persona.","Psicólogo, Universidad Central.
Postítulo de Especialización en Trauma Complejo.
Postítulo en Psicoterapia: Modelo de Apego & Complejidad (MAC) .
Postítulo en Primera Infancia (0–6 años): Modelo de Complejidad y Metodología A.M.A.R
Diplomado en Mentalización: Teoría y Abordaje Clínico.
Diplomado en Terapia Adulto: Sanando las Heridas de la Infancia.
Diplomado en Evaluación Psicológica Infanto-Juvenil.
Varios estudios en Neurociencias del Trauma Complejo, TCC, autolesiones y suicidio, TCA, adicciones, abuso sexual infantil, entre otros. ",
Maria Muñoz,Psicologia,Psicologa,,"Terapeuta con 16 años de experiencia clínica, que trabaja desde un enfoque sistémico-vincular, integrando además la terapia floral como complemento al proceso terapéutico. 
Se especializa en el trabajo con familias, acompañando a niños, adolescentes y adultos. Se orienta a la terapia basada en recursos, el fortalecimiento de los vínculos afectivos y un acompañamiento integral, respetuoso y centrado en el bienestar relacional.","Universidad de Central
16 años de experiencia clínica
Diversas formaciones y estudios
Postítulo en terapia sistémica vincular
Diplomado en técnicas de intervención en terapia sistémica breve 
Terapia Floral ",
Valeria Alfaro,Terapia ocupacional,Terapeuta ocupacional,,"Posee experiencia en atención clínica, realizando evaluación e intervención en niños, adolescentes y adultos. Ha trabajado en procesos orientados a la autonomía, la participación en actividades de la vida diaria y la integración sensorial, adaptando las intervenciones a las necesidades individuales y al contexto familiar. Su práctica se basa en un enfoque dinámico, centrado en la persona y su familia, favoreciendo una atención integral y significativa.","Diplomado en condición del espectro autista, estrategias para una intervención efectiva desde un enfoque de derecho.
Diplomado en selectividad alimentaria.
Certificación en perfil sensorial en adultos y niños.
Certificación en control de esfínter
",
Valentina Jimenez,Psicologia,Psicologa / Directora,,"Psicóloga con 8 años de experiencia clínica, que trabaja desde un enfoque sistémico-vincular. Acompaña familias y parejas en distintos ciclos de la historia vital. Incorpora un enfoque basado en neurociencia, con formación en postparto e hipnoparto, y aborda la línea de apego y trauma en población adulta.
Además, realiza atención a niños mediante terapia de juego, desarrollando una intervención cercana, amorosa y técnicamente fundamentada.","Psicóloga, Universidad de La Serena.
Diplomado en Dinámicas familiares, hijos, padres, pareja y familia extensa.
Diplomado en Intervención Sistémica en Infancia y Adolescencia.
Diplomado Familia e Infancia, Herramientas de Intervención.
Diplomado Estrategias de inclusión laboral para personas en situación de discapacidad. 
Diplomado en Selección de Personal.
Coaching ejecutivo y de equipos, PCA.
Cursos variados en: Metodología A.M.A.R, evaluación en personas con autismo, PAP, abordaje en Post Parto, Trauma Complejo, y Apego.",
Eugenia Ortiz,Pediatria,Pediatra,,"Médica Pediatra con más de 30 años de experiencia en el servicio público, desarrollada principalmente en el ámbito hospitalario y consulta privada. Su práctica se encuentra enfocada en los derechos de niños, niñas y adolescentes, con una profunda convicción en el acceso universal y oportuno a la salud. Se desempeñó como directora del Hospital de Coquimbo, liderando procesos de gestión sanitaria, fortalecimiento institucional y atención centrada en las personas.",,
Pamela Tarifeño,Psicopedagogia,psicopedagoga,,,"Profesora de Educación General Básica, con fuerte enfoque social,  comprometida con aportar a la sociedad que compartimos.  Su sólida formación en atención a la diversidad le permite liderar procesos que ponen en el centro al ser humano y sus individualidad.
Magíster en Gestión Educacional y Didáctica del aprendizaje, Post título en Matemática, diplomada en evaluación y atención  a la diversidad. Trabaja desde un enfoque constructivista del aprendizaje y cuenta con amplia experiencia en la gestión de procesos, educativos, desde la educación inicial hasta  la educación de nivel superior, liderando equipos de trabajo diversos.
Encargada de  Centro VALÚ y de su equipo humano",